patient_id	cnv_feature_000	cnv_feature_001	cnv_feature_002	cnv_feature_003	cnv_feature_004	cnv_feature_005	cnv_feature_006	cnv_feature_007	cnv_feature_008	cnv_feature_009	cnv_feature_010	cnv_feature_011	cnv_feature_012	cnv_feature_013	cnv_feature_014	cnv_feature_015	cnv_feature_016	cnv_feature_017	cnv_feature_018	cnv_feature_019	cnv_feature_020	cnv_feature_021	cnv_feature_022	cnv_feature_023
SYN-00000	-0.53403664	-0.7591736	0.3866591	0.7988543	-0.12076914	0.22799776	-0.7565031	-0.7816592	-0.2391389	0.50287527	-0.74870265	-0.93908507	-0.6630798	-0.82945955	0.36372772	0.36969742	-0.47429	0.042159267	-0.8886739	-0.68703365	-0.055741314	0.41635928	-0.4349897	-0.17196043
SYN-00001	0.175989	0.085763596	-0.44186294	0.27537498	-0.62885135	0.48605743	0.88129526	0.6873635	-0.68150955	0.2866764	0.060920864	-0.19763729	0.54541856	0.18612917	-0.6172994	0.71593785	0.2163096	0.3518556	0.5401764	-0.24035726	0.1606892	0.34290195	-0.10124592	-0.10879543
SYN-00002	0.92280203	-0.24400474	-0.79242086	0.9590894	-0.61718315	0.9756186	0.98246175	-0.24209158	-0.39533725	0.95898885	0.09717738	0.9424951	0.83940613	-0.3688362	-0.36739936	0.89240754	-0.7886848	0.8805886	0.9593129	-0.41521746	-0.19344987	0.5418092	-0.22486131	0.93449533
SYN-00003	-0.3345549	0.07181077	0.63774514	0.86675334	0.86559707	-0.21872462	-0.45928428	0.105162546	0.25029954	0.8578251	0.917494	-0.5250072	-0.22440335	0.09950288	0.82699174	0.7044562	0.837358	-0.53666574	0.08022263	0.56581205	-0.08782377	0.13299675	0.83130974	-0.67692626
SYN-00004	-0.73420763	-0.0012521443	-0.13949099	-0.634644	0.6081972	0.8901197	-0.061083935	0.4762652	-0.11045709	-0.14933392	0.13686937	0.83368766	-0.122260824	0.51877826	0.68218887	-0.729951	0.594115	0.66793	-0.31772318	-0.082747735	0.5384374	-0.8629296	-0.41607344	0.22515374
SYN-00005	0.010661091	0.5514846	0.2890562	0.337222	-0.17314306	-0.40007335	-0.07805563	0.8049065	0.59001136	0.04650222	-0.2826238	-0.2781342	0.739817	0.96162254	0.7503421	-0.37678364	0.36877695	-0.32794708	0.30147856	0.92313504	-0.020779265	-0.7575935	-0.010817669	-0.551837
SYN-00006	-0.6764685	0.17474371	-0.15949248	-0.6193861	0.4989283	0.59200096	-0.47085005	0.44302893	-0.13944072	-0.5779888	0.25920317	0.103354804	-0.90231836	-0.058273472	-0.7951986	0.00036872036	0.3207231	0.51219356	-0.68708575	0.01013351	-0.67923373	-0.4235929	0.5661404	0.53309757
SYN-00007	0.630635	0.08825809	-0.9775302	0.3326421	-0.564909	-0.78042585	0.634005	0.32701117	-0.85601157	0.09427259	-0.55404264	0.41320023	0.28085873	-0.36915082	-0.9302038	-0.13604811	-0.70833975	-0.2382591	0.3596797	0.008889233	-0.96459204	0.18354224	-0.72182816	-0.2816146
SYN-00008	0.78474	0.8207876	-0.22472194	0.4101603	-0.52237445	0.039244764	0.79088634	0.84344935	0.40212464	0.695276	-0.95157987	-0.36820585	0.7304129	0.5308866	0.07519305	0.43507066	-0.83064324	0.090061836	0.8249699	0.89894354	0.50848013	0.35070053	-0.8878599	0.4528135
SYN-00009	0.70813096	-0.06934397	0.5513225	-0.5906814	0.75340515	0.7325059	0.33607417	-0.94772714	0.22299962	-0.09637596	0.4716731	0.638412	0.5552945	-0.12918355	0.84564734	0.108622715	0.43929738	0.9184247	-0.26001415	-0.5603397	0.17678773	-0.45641035	0.9521994	0.96891826
SYN-00010	0.6432621	0.89968175	0.05197134	0.9184584	-0.6681277	0.2190228	-0.12885326	0.941722	-0.5549036	0.9358033	-0.6337485	0.46583083	-0.260415	0.6073166	0.05297317	0.941921	0.046044335	-0.34144384	-0.82967913	0.90008634	0.27148554	0.9232165	-0.37235606	0.5329865
SYN-00011	0.46385127	-0.20203032	-0.9663627	0.2933867	0.8063563	-0.107803814	-0.040156156	-0.4004278	-0.9486375	-0.4551399	-0.15425842	-0.6068022	0.40147528	0.18062261	-0.8902781	-0.4383618	0.5876542	-0.38123816	0.58094144	-0.5991083	-0.89804494	-0.81110406	0.7017125	-0.5888283
SYN-00012	-0.04412497	0.86136353	0.5861879	0.4285785	0.5219622	-0.31007123	0.089537956	0.9210529	0.8048381	0.007557164	0.3802484	-0.78661984	0.367899	0.5742942	-0.06960796	0.760126	0.89101106	-0.4559659	-0.24907741	0.972252	0.38655147	0.64565146	0.046761375	-0.8291172
