patient_id	mirna_feature_000	mirna_feature_001	mirna_feature_002	mirna_feature_003	mirna_feature_004	mirna_feature_005	mirna_feature_006	mirna_feature_007	mirna_feature_008	mirna_feature_009	mirna_feature_010	mirna_feature_011	mirna_feature_012	mirna_feature_013	mirna_feature_014	mirna_feature_015	mirna_feature_016	mirna_feature_017	mirna_feature_018	mirna_feature_019	mirna_feature_020	mirna_feature_021	mirna_feature_022	mirna_feature_023
SYN-00000																								
SYN-00001	4.360321	4.6724854	4.439355	4.3310094	3.248899	4.1134214	4.869488	4.046529	3.2102752	4.7048435	4.6240435	4.5278587	4.4207673	4.1039786	4.0049076	4.7395515	4.0564466	5.7483025	4.1552925	3.8771892	4.1246243	4.4002767	4.632525	5.012777
SYN-00002	5.5855055	3.6937237	3.217532	4.7597384	4.1755	6.099087	5.6283946	4.1134534	3.1275182	5.291685	3.7292228	6.689434	5.6563826	3.2699046	2.817811	4.943358	2.8403955	5.47978	5.863289	4.5419207	3.4198754	6.005419	3.5223703	5.4726286
SYN-00003	3.5731556	4.5175047	4.578657	5.340515	4.8835807	3.4995666	2.6097126	4.536985	5.693969	5.294613	5.8621974	4.8712826	3.8275182	3.3914278	4.811808	5.4142118	5.2453833	3.8835797	3.896162	3.8667624	4.9179134	5.018107	4.8252673	5.145773
SYN-00004	3.2433145	4.5924916	4.587051	3.6217582	3.76219	5.7287135	3.1889238	4.454788	4.3845053	3.4125805	4.0428987	5.859379	3.2918606	5.0227275	4.322826	3.3568053	4.669735	4.4788666	4.083014	3.6315114	4.054348	2.774127	4.318591	5.1114464
SYN-00005	3.4379864	4.843372	4.412308	4.3424954	4.3887706	3.2504253	4.264779	6.4043474	4.1445055	3.9334288	5.312023	3.51047	5.246102	6.699388	4.138848	4.746028	4.3909693	2.7970836	4.8922644	4.727775	4.823199	3.6178832	4.409682	3.1761582
SYN-00006	2.76576	3.2372704	3.7790582	2.9529161	3.3546422	4.293646	2.0798984	4.355695	3.3254113	3.2559578	3.3389266	4.294899	2.8372846	4.1801324	3.4439876	3.3268623	4.137658	5.716603	3.1426141	5.609882	3.2883115	3.919174	3.9205804	3.8323796
SYN-00007																								
SYN-00008	5.3748236	5.5440435	3.5671148	4.704914	2.6015005	4.3643355	5.497248	4.820473	3.961634	3.7989576	2.7478547	3.6180654	5.2103953	4.9158854	4.150969	3.3433828	3.2999907	4.4238873	5.3651204	5.0634584	4.4087033	3.5736337	2.7672977	4.507189
SYN-00009	5.692223	2.8344302	4.012535	3.9784126	3.9995532	4.7933702	5.0645046	3.318573	3.8252785	3.3514411	4.0458426	5.093892	4.721332	3.779014	4.8717456	3.407508	4.8905993	6.0310984	2.8246198	3.021471	4.8501525	3.2583656	4.6998863	5.171652
SYN-00010	3.039818	5.8518643	1.9449539	7.0020266	3.6116796	3.1616063	3.1790879	6.8949895	3.700989	6.6786485	4.057018	2.8137345	3.785101	5.680418	4.2843575	6.2932224	4.4758086	4.4682198	2.8567383	5.272706	4.5028114	5.5647798	2.865542	3.540074
SYN-00011	4.929432	2.9872084	1.0327737	3.1678298	4.9940963	3.8115096	3.5884943	3.3656602	2.095943	3.4881957	4.5743318	3.2485754	4.108958	2.948998	2.5834577	3.0344944	5.652252	2.7064848	4.321752	3.0442777	2.3191135	3.0808043	4.059291	3.4853516
SYN-00012	4.493114	4.999126	4.461943	5.9010825	4.3374453	3.1559315	4.3488116	5.4408283	3.4592912	5.197768	5.5554714	3.2556686	3.0064273	5.5586824	4.516901	5.0006075	5.090784	2.9446056	4.2266994	5.7992234	4.8651156	4.505035	5.2065706	2.5121024
SYN-00013																								
SYN-00014	2.363433	4.5989494	3.5996737	5.2489786	4.6327415	6.5942593	3.6238868	2.902872	2.3056824	5.6618147	5.64085	4.429625	2.9102054	3.6264198	3.5753758	4.1375904	5.503003	5.702411	3.3902235	3.1070569	4.9055123	3.847811	5.302335	6.2225275
SYN-00015	4.4145064	4.262134	2.8525176	5.4451203	6.973897	3.6562033	5.499992	4.331351	1.7673659	5.8586683	5.847451	4.4219723	4.708933	4.881795	0.66584086	5.2715807	7.2302284	4.652344	5.3221197	4.371449	1.7827532	4.738596	6.8920283	4.9591684
SYN-00016	4.0805955	4.457996	4.0917487	4.9830503	3.278557	5.170112	4.007874	4.3223953	4.3579416	4.0307775	3.4153748	4.0549912	3.6663666	4.1103334	5.0368576	4.265961	3.4965029	4.133207	3.9156175	4.797706	4.7169805	4.2688403	4.762616	4.1813226
SYN-00017	3.5578985	2.38559	5.1693296	3.9254851	4.785455	6.374798	2.4824734	2.061531	5.411687	3.5282118	4.7016287	5.7487226	3.2168026	1.9626698	4.5715446	3.6661787	4.0839486	5.804674	3.0284183	1.5726659	5.2957377	3.9736905	4.1002016	4.4576025
SYN-00018	5.603185	3.2592814	4.9073873	2.9558713	4.135248	3.5681243	5.913624	3.78082	4.583272	2.9892898	3.4004955	4.990586	4.7148404	2.7749398	3.986111	2.406743	3.7052014	4.478061	5.5514536	3.2706358	4.452451	4.21336	3.3787756	4.0716414
SYN-00019	4.0475082	1.1608584	2.7503476	2.3610973	5.542736	3.843385	3.8660564	0.72415614	1.6452079	3.5406675	5.81402	4.8494377	4.222382	1.144989	1.7222657	3.6976187	6.1944485	4.567778	3.726347	1.610465	2.7264032	3.9772034	4.9194784	5.392701
SYN-00020	3.7917826	2.825427	4.555441	1.3028932	4.2575545	5.608152	4.3214216	3.1328166	3.3219664	2.5810323	4.3401165	4.5402794	3.673482	1.857945	3.934187	1.7372394	4.6628046	4.7086425	4.0330467	2.6011772	5.168268	1.3721008	3.7271795	5.507169
SYN-00021	2.9099	4.2818513	2.9192019	4.225593	5.498398	3.9060094	2.8158016	5.231779	2.9303615	4.9948225	3.8254666	4.441263	2.925541	5.002962	3.2476058	4.418866	3.3248215	4.1949477	3.5810719	5.072448	2.7213168	3.6771288	4.8801064	4.4520564
