patient_id	mrna_feature_000	mrna_feature_001	mrna_feature_002	mrna_feature_003	mrna_feature_004	mrna_feature_005	mrna_feature_006	mrna_feature_007	mrna_feature_008	mrna_feature_009	mrna_feature_010	mrna_feature_011	mrna_feature_012	mrna_feature_013	mrna_feature_014	mrna_feature_015	mrna_feature_016	mrna_feature_017	mrna_feature_018	mrna_feature_019	mrna_feature_020	mrna_feature_021	mrna_feature_022	mrna_feature_023
SYN-00000	7.5824223	7.4487967	7.5968957	9.717832	7.034959	8.060461	6.400266	6.5719485	7.395035	8.63364	7.220236	6.9305277	5.2629213	7.1352367	6.7304688	9.914339	4.622801	6.772639	7.0769606	5.9478145	5.9673886	8.330587	8.781504	9.066172
SYN-00001	8.954527	7.370991	4.979287	8.550115	9.554836	6.2619104	8.765865	9.134277	8.336667	8.338619	8.1847	7.683013	9.706652	9.316086	7.427855	12.091322	6.7572107	7.5389767	8.908229	10.438882	7.925344	7.6234274	9.622516	8.402613
SYN-00002	11.16016	7.0932193	9.095933	10.390308	5.7192616	9.353341	9.927407	5.794534	5.916937	9.219759	4.6978636	11.971409	12.687044	8.447989	7.0371943	11.513403	7.1041574	10.321122	13.502523	7.439684	6.7777042	10.847199	7.259857	9.507831
SYN-00003																								
SYN-00004	7.085945	10.05188	9.489597	6.513949	9.166645	10.897826	9.1922455	8.02959	6.9358463	7.9390264	9.770643	10.22611	8.029619	7.003986	9.91521	5.075941	8.5686655	10.162524	8.122073	9.894065	7.6918488	5.1766443	9.711968	10.556734
SYN-00005	7.018217	13.132128	8.98717	8.244338	7.555233	5.5501842	9.192999	10.377984	7.746462	9.04675	8.937093	5.9081326	8.5105715	10.538759	7.914835	8.636279	10.157799	7.0201645	7.8793335	11.303056	7.163214	6.8539925	9.834839	8.546123
SYN-00006	5.9603767	8.241807	7.3545465	10.962496	9.02999	9.501954	3.8889966	10.477521	6.9558372	5.0691123	6.741172	9.317805	6.364494	9.094642	7.0217657	7.178507	9.372054	9.19462	6.8635645	8.073019	5.9766636	6.873856	8.852628	10.369343
SYN-00007	7.6992764	7.7269177	3.5113368	8.937072	6.1343155	8.376144	8.413926	9.820136	5.1015573	7.4081817	6.688182	7.7291913	10.682547	6.2890015	3.2989264	6.963523	6.1884866	8.857848	6.9984174	8.59064	4.735305	6.8231335	8.039022	7.532259
SYN-00008	9.646835	10.823345	8.755208	9.201263	5.203866	7.320277	10.862268	9.594751	8.304164	8.775742	5.1560054	7.5995307	10.599245	9.96106	6.9481587	9.220652	4.0434275	8.632965	8.809041	10.276043	7.7321258	8.137798	4.134782	8.785315
SYN-00009	6.9219675	5.8432417	9.142943	7.9677844	9.667748	9.968178	9.03325	7.0779753	9.129932	9.745828	10.806883	11.458567	8.263403	7.1281714	9.085091	6.144283	11.134095	11.369392	9.812676	7.4566565	8.697342	6.593637	10.879124	11.417067
SYN-00010	6.2379866	9.1824875	9.236952	11.256373	6.952746	9.545421	7.4369473	11.398075	9.066356	10.410181	6.707978	5.449482	6.0035357	9.063979	8.576839	11.183004	9.024557	8.885468	7.049918	9.280349	7.7584534	13.030445	6.047266	8.290828
SYN-00011	7.979912	7.4492774	5.5648875	7.655618	9.064386	9.465925	8.566479	7.4131336	6.2915034	6.8522367	10.61432	6.668263	9.577025	7.689272	4.526852	5.360831	9.268536	6.1282883	7.976248	6.0719376	5.5017166	6.56437	11.152438	9.260169
SYN-00012	6.806121	10.753932	8.083648	7.8821793	8.397867	7.0029383	6.373311	11.749007	7.412687	9.032552	7.3138676	5.697535	7.0657988	9.509692	7.605222	8.713726	10.557146	8.281208	10.002893	9.290866	10.3966875	10.287047	9.883558	8.597082
SYN-00013	6.061365	9.746475	6.7943587	6.4099483	9.394924	5.9717627	8.902909	6.961591	8.9883	6.646938	8.212304	4.2192163	9.559104	5.9130855	6.249805	6.7939477	8.176834	7.2911034	6.689105	7.493378	8.182614	7.82981	11.1098175	4.8693027
SYN-00014	6.436672	6.556839	9.117323	8.629503	10.548367	8.937971	7.6474714	7.0605145	6.294108	8.992541	12.209913	12.801244	6.6702857	4.931716	6.7690945	8.515273	10.408754	10.942446	7.024209	4.90335	6.2857065	9.370799	10.707621	11.86099
SYN-00015	7.6498437	6.8507566	2.708962	10.455666	12.459049	8.778091	8.711826	9.815644	4.2292895	9.086908	11.808399	8.249678	9.029632	7.276594	3.7378702	10.713576	13.694465	10.860509	10.118706	8.1471	4.0823016	8.488745	13.900734	8.258806
SYN-00016																								
SYN-00017																								
SYN-00018	12.189991	7.7251215	6.8002405	6.149181	8.289491	10.876623	10.401782	4.87115	7.70388	5.376924	4.35115	9.18479	10.436642	7.8113613	7.021611	7.0999446	6.9445467	8.928669	9.844034	7.922006	9.96304	6.0702906	8.113828	9.489796
SYN-00019	7.9814496	2.9414582	2.1412396	7.2091875	11.072367	7.130654	9.714779	0.38405228	3.40631	7.3650203	11.222179	6.840292	8.169342	4.2228575	2.72815	7.2734256	8.257595	8.402067	5.484314	2.7416172	5.0145197	7.817038	8.987034	8.450094
