fold,baseline,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,mean_cancer_stratified_time_dependent_auc,integrated_ipcw_ece
1,cancer_only,0.7247879690116399,0.5,0.1561769222503048,0.7616989070820077,0.5,0.08581257189873216
1,clinical_only,0.7845560094895622,0.679617243705036,0.13704334240410487,0.8208615785016167,0.7161625832408007,0.0506684718642485
2,cancer_only,0.716242898305633,0.5,0.1603208332192893,0.743556339490255,0.5,0.09407529978214965
2,clinical_only,0.7688503760983713,0.6374235085989386,0.13980788751750825,0.8033282761994865,0.6736152775235786,0.040302780075989045
3,cancer_only,0.7274350452933068,0.5,0.1538368126910329,0.7565225110069196,0.5,0.07833023478881468
3,clinical_only,0.789366617402445,0.6468066491688539,0.13108774092112604,0.825108290355241,0.686028896513068,0.03457145451893652
4,cancer_only,0.7243970839404759,0.5,0.15790028084555877,0.7481118823490038,0.5000000000000001,0.08739097751991894
4,clinical_only,0.7759674789890787,0.6365225498193684,0.13643122017909787,0.8072734756685004,0.6602364382893622,0.025330833898161504
5,cancer_only,0.721241756796668,0.5,0.1637515884552104,0.7502326446546248,0.5,0.09029608778104746
5,clinical_only,0.7705527662023813,0.6470738418768262,0.1435599713758702,0.8019913038688213,0.6794456377743935,0.031864041085989774
