fold,condition,dropped_modalities,patients,events,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,delta_c_index_vs_all_observed,delta_cancer_stratified_c_index_vs_all_observed,delta_ibs_vs_all_observed,delta_mean_time_dependent_auc_vs_all_observed,degradation_c_index,degradation_cancer_stratified_c_index,degradation_ibs,degradation_mean_time_dependent_auc
1,all_observed,none,1894,532,0.7695242001640689,0.6744135344902764,0.1279299718160338,0.7971804692219215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,clinical_only,mrna+mirna+cnv,1894,532,0.7630434782608696,0.6723205720763932,0.1344602720663272,0.7905544794745806,-0.0064807219031992,-0.0020929624138832,0.0065303002502933,-0.0066259897473409,0.00648072190319926,0.002092962413883237,0.006530300250293414,0.006625989747340966
1,drop_cnv,cnv,1894,532,0.7710008203445448,0.6806924217319263,0.1272217296778082,0.8001224973837049,0.0014766201804758,0.0062788872416499,-0.0007082421382256,0.0029420281617833,-0.001476620180475896,-0.006278887241649933,-0.0007082421382255955,-0.00294202816178335
1,drop_mirna,mirna,1894,532,0.7691033277454792,0.6734978634342025,0.1280753976457542,0.7968989161297043,-0.0004208724185896,-0.0009156710560739,0.0001454258297203,-0.0002815530922172,0.0004208724185896795,0.0009156710560739301,0.00014542582972040807,0.0002815530922172238
1,drop_mrna,mrna,1894,532,0.7710418375717801,0.6806924217319263,0.1295182469010321,0.7975980530359209,0.0015176374077112,0.0062788872416499,0.0015882750849982,0.0004175838139993,-0.0015176374077112698,-0.006278887241649933,0.001588275084998314,-0.00041758381399936706
2,all_observed,none,1870,540,0.7677390327803226,0.6685776685776685,0.1304299685487347,0.7968868897408234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,clinical_only,mrna+mirna+cnv,1870,540,0.7619476535127341,0.6597734097734098,0.1304647758551761,0.7957564428990773,-0.0057913792675885,-0.0088042588042587,3.480730644148111e-05,-0.0011304468417461,0.005791379267588548,0.008804258804258724,3.4807306441397845e-05,0.0011304468417461244
2,drop_cnv,cnv,1870,540,0.7747606040960346,0.6805441805441805,0.1270853782537893,0.8064445948006654,0.007021571315712,0.0119665119665119,-0.0033445902949453,0.0095577050598419,-0.007021571315712016,-0.011966511966511995,-0.00334459029494541,-0.009557705059841992
2,drop_mirna,mirna,1870,540,0.7666656038657612,0.6669396669396669,0.1301793679518815,0.7955613456807515,-0.0010734289145614,-0.0016380016380016,-0.0002506005968531,-0.0013255440600719,0.001073428914561414,0.0016380016380016515,-0.00025060059685319547,0.0013255440600719037
2,drop_mrna,mrna,1870,540,0.759300393590602,0.6547911547911548,0.1322126099982786,0.7884889359095002,-0.0084386391897206,-0.0137865137865137,0.0017826414495439,-0.0083979538313232,0.008438639189720654,0.013786513786513743,0.0017826414495439036,0.008397953831323246
