group_type,group,pattern_name,folds_present,total_patients,total_events,mean_patients_per_fold,mean_events_per_fold,min_patients_per_fold,min_events_per_fold,c_index_n,c_index_mean,c_index_sd,c_index_ci95_low,c_index_ci95_high,cancer_stratified_c_index_n,cancer_stratified_c_index_mean,cancer_stratified_c_index_sd,cancer_stratified_c_index_ci95_low,cancer_stratified_c_index_ci95_high,ibs_n,ibs_mean,ibs_sd,ibs_ci95_low,ibs_ci95_high,mean_time_dependent_auc_n,mean_time_dependent_auc_mean,mean_time_dependent_auc_sd,mean_time_dependent_auc_ci95_low,mean_time_dependent_auc_ci95_high
aggregate,complete,complete,5,9427,2703,1885.4,540.6,1867,529,5,0.7757706159033556,0.009807247643352798,0.7635933095831358,0.7879479222235755,5,0.6671893217962677,0.00974222301934269,0.6550927542106779,0.6792858893818574,5,0.13016964578678733,0.004739498334915694,0.12428478133477583,0.13605451023879883,5,0.8052393810954186,0.011437716041182516,0.7910375808654045,0.8194411813254326
aggregate,incomplete,incomplete,5,1559,870,311.8,174.0,286,154,5,0.7641943167482237,0.02103889784451464,0.7380710747328031,0.7903175587636443,5,0.6224102245173174,0.03371805234002084,0.5805437328371633,0.6642767161974715,5,0.163599499789944,0.012844713906591861,0.14765068096490166,0.17954831861498635,5,0.8145240875798139,0.02711842880478103,0.7808521108450653,0.8481960643145624
exact_pattern,1000,clinical,5,98,28,19.6,5.6,13,2,5,0.8791847078792585,0.0594757473733965,0.80533581359945,0.9530336021590671,5,0.4928571428571429,0.38992411611303374,0.008702405848164618,0.9770118798661211,5,0.10564145109041523,0.05074935470787116,0.04262780441757889,0.16865509776325155,5,0.9013170057076076,0.0702310249258051,0.8141136705002843,0.988520340914931
exact_pattern,1001,clinical + cnv,5,581,426,116.2,85.2,112,82,5,0.6986203268379272,0.03787201164104269,0.6515960134436907,0.7456446402321637,5,0.6442183306146816,0.05700508263542607,0.5734371717916424,0.7149994894377207,5,0.17307094889538616,0.009398414032759555,0.16140127655069555,0.18474062124007676,5,0.7643006617679928,0.05137125247296735,0.7005148270296732,0.8280864965063125
exact_pattern,1011,clinical + mirna + cnv,5,250,146,50.0,29.2,45,24,5,0.6402240757380372,0.04342987009315208,0.5862987695967039,0.6941493818793705,5,0.5675746173932418,0.09101046400984639,0.4545702007723961,0.6805790340140874,5,0.24887511395518147,0.01864084858803675,0.22572944336744877,0.2720207845429142,5,0.7167045027687099,0.0412571695166129,0.6654769607121419,0.7679320448252779
exact_pattern,1100,clinical + mrna,5,19,7,3.8,1.4,1,0,3,0.7666666666666666,0.2516611478423583,0.14150571872908901,1.391827614604244,3,0.6666666666666666,0.5773502691896258,-0.7675509099164876,2.100884243249821,5,0.11488753243941101,0.08822969617818774,0.005335895122499046,0.22443916975632297,3,0.6777777777777777,0.5014792931731892,-0.5679658460556413,1.9235214016111968
exact_pattern,1101,clinical + mrna + cnv,5,381,197,76.2,39.4,70,32,5,0.790747823959,0.03496879505907022,0.7473283300735869,0.8341673178444131,5,0.598723566024777,0.04920611051398396,0.5376261101079275,0.6598210219416266,5,0.13084472416759022,0.026853022801034,0.09750229251260151,0.16418715582257892,5,0.8420810751825076,0.029082551970065953,0.8059703174253868,0.8781918329396284
exact_pattern,1110,clinical + mrna + mirna,5,223,61,44.6,12.2,38,8,5,0.7303317627568686,0.05790083762901664,0.6584383772070769,0.8022251483066604,5,0.528171135236079,0.061699214635104964,0.4515614417062223,0.6047808287659355,5,0.12215407566914727,0.021908666411723052,0.09495087333705471,0.14935727800123982,5,0.763239900600059,0.05048909534637734,0.700549408606585,0.825930392593533
exact_pattern,1111,clinical + mrna + mirna + cnv,5,9427,2703,1885.4,540.6,1867,529,5,0.7757706159033556,0.009807247643352798,0.7635933095831358,0.7879479222235755,5,0.6671893217962677,0.00974222301934269,0.6550927542106779,0.6792858893818574,5,0.13016964578678733,0.004739498334915694,0.12428478133477583,0.13605451023879883,5,0.8052393810954186,0.011437716041182516,0.7910375808654045,0.8194411813254326
exact_pattern,1010,clinical + mirna,4,7,5,1.75,1.25,1,0,2,1.0,0.0,1.0,1.0,1,1.0,0.0,,,4,0.22010009139779851,0.1957732344578875,-0.09141881193917406,0.5316189947347711,1,1.0,0.0,,
