model,metric,n,mean,sd,ci95_low,ci95_high
PathTokenSurv,c_index,5,0.7855844569447384,0.007507863218711611,0.776262213482626,0.7949067004068509
PathTokenSurv,cancer_stratified_c_index,5,0.6524773621625837,0.013214665097614643,0.6360691882625558,0.6688855360626116
PathTokenSurv,ibs,5,0.13497661783818649,0.0036128073643111637,0.13049072500147588,0.1394625106748971
PathTokenSurv,mean_time_dependent_auc,5,0.8184665267856207,0.007652846952749004,0.8089642622406289,0.8279687913306125
PathTokenSurv,mean_cancer_stratified_time_dependent_auc,5,0.6780063586721359,0.024660648981148375,0.6473861186599036,0.7086265986843682
PathTokenSurv,integrated_ipcw_ece,5,0.03617330261699093,0.00984580101385202,0.023948125964612755,0.048398479269369105
cancer_only,c_index,5,0.7228209506695448,0.004283919135365439,0.7175017625079453,0.7281401388311443
cancer_only,cancer_stratified_c_index,5,0.5,0.0,0.5,0.5
cancer_only,ibs,5,0.15839728749227924,0.003819146985682789,0.1536551901763085,0.16313938480825
cancer_only,mean_time_dependent_auc,5,0.7520244569165622,0.007142396661449341,0.7431560001211498,0.7608929137119745
cancer_only,mean_cancer_stratified_time_dependent_auc,5,0.5,5.551115123125783e-17,0.49999999999999994,0.5000000000000001
cancer_only,integrated_ipcw_ece,5,0.08718103435413257,0.005862761128824413,0.07990145493040285,0.0944606137778623
clinical_only,c_index,5,0.7778586496363677,0.00887960306561877,0.7668331661914491,0.7888841330812864
clinical_only,cancer_stratified_c_index,5,0.6494887586338047,0.017567327459206205,0.6276760405830519,0.6713014766845575
clinical_only,ibs,5,0.13758603247954143,0.004595663251703016,0.13187976287203376,0.1432923020870491
clinical_only,mean_time_dependent_auc,5,0.8117125849187332,0.010578925236145705,0.7985771143133218,0.8248480555241446
clinical_only,mean_cancer_stratified_time_dependent_auc,5,0.6830977666682406,0.020783223993326334,0.6572919856691226,0.7089035476673586
clinical_only,integrated_ipcw_ece,5,0.03654751628866507,0.00955454232840691,0.024683985060168247,0.048411047517161895
