fold,metric,primary,feature_permuted_control,degradation_positive_is_control_worse
1,c_index,0.7850380783410034,0.7872779141090394,-0.0022398357680359915
2,c_index,0.7777968656052099,0.7806983393218293,-0.0029014737166194182
3,c_index,0.7963570860759408,0.7895396264136136,0.006817459662327163
4,c_index,0.7891350258967305,0.7798250763806504,0.009309949516080107
5,c_index,0.7795952288048082,0.7609918360219632,0.018603392782845063
1,cancer_stratified_c_index,0.6609993255395683,0.6597066097122302,0.0012927158273381423
2,cancer_stratified_c_index,0.6454569183028335,0.639134595864389,0.006322322438444439
3,cancer_stratified_c_index,0.6708661417322834,0.6468649752114319,0.02400116652085149
4,cancer_stratified_c_index,0.6470399720312318,0.6301713087052792,0.016868663325952604
5,cancer_stratified_c_index,0.6380244532070012,0.6150747496524921,0.022949703554509093
1,ibs,0.13460116182750068,0.13309242138730415,-0.0015087404401965265
2,ibs,0.1368185496019908,0.13579244843844376,-0.0010261011635470385
3,ibs,0.13073443425611928,0.13019130128115755,-0.0005431329749617242
4,ibs,0.1327019978723302,0.13466050206764504,0.0019585041953148474
5,ibs,0.14002694563299148,0.1518088256724574,0.011781880039465925
1,mean_time_dependent_auc,0.818744228011904,0.8214785846768867,-0.0027343566649826734
2,mean_time_dependent_auc,0.8114046339221076,0.8144005033982737,-0.0029958694761661464
3,mean_time_dependent_auc,0.8296537344427537,0.823894448789156,0.005759285653597734
4,mean_time_dependent_auc,0.8212384445035954,0.8090277263035556,0.012210718200039827
5,mean_time_dependent_auc,0.8112915930477423,0.7874389196557026,0.02385267339203978
1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.7028037457030849,-0.04434509147699295
2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6663418299436449,0.007746754789560328
3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.6851201812178239,0.03079473888615092
4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6695927204111746,0.016904645498923454
5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6310811766838673,0.023991091703442047
1,integrated_ipcw_ece,0.03172344245323376,0.028158182125365947,-0.0035652603278678134
2,integrated_ipcw_ece,0.03591116243722868,0.03170135340815903,-0.004209809029069651
3,integrated_ipcw_ece,0.05273268332032244,0.03561553703155969,-0.01711714628876275
4,integrated_ipcw_ece,0.033677141976982405,0.031356627118282555,-0.00232051485869985
5,integrated_ipcw_ece,0.02682208289718735,0.05921195802175499,0.03238987512456764
